@RELATION Parkinson
@ATTRIBUTE class {Positive,Negative}
@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE x8 NUMERIC
@ATTRIBUTE x9 NUMERIC
@ATTRIBUTE x10 NUMERIC
@ATTRIBUTE x11 NUMERIC
@ATTRIBUTE x12 NUMERIC
@ATTRIBUTE x13 NUMERIC
@ATTRIBUTE x14 NUMERIC
@ATTRIBUTE x15 NUMERIC
@ATTRIBUTE x16 NUMERIC
@ATTRIBUTE x17 NUMERIC
@ATTRIBUTE x18 NUMERIC
@ATTRIBUTE x19 NUMERIC
@ATTRIBUTE x20 NUMERIC
@ATTRIBUTE x21 NUMERIC
@ATTRIBUTE x22 NUMERIC
@ATTRIBUTE x23 NUMERIC
@ATTRIBUTE x24 NUMERIC
@ATTRIBUTE x25 NUMERIC
@ATTRIBUTE x26 NUMERIC
@ATTRIBUTE x27 NUMERIC
@ATTRIBUTE x28 NUMERIC
@ATTRIBUTE x29 NUMERIC
@ATTRIBUTE x30 NUMERIC
@ATTRIBUTE x31 NUMERIC
@ATTRIBUTE x32 NUMERIC
@ATTRIBUTE x33 NUMERIC
@ATTRIBUTE x34 NUMERIC
@ATTRIBUTE x35 NUMERIC
@ATTRIBUTE x36 NUMERIC
@ATTRIBUTE x37 NUMERIC
@ATTRIBUTE x38 NUMERIC
@ATTRIBUTE x39 NUMERIC
@ATTRIBUTE x40 NUMERIC
@ATTRIBUTE x41 NUMERIC
@ATTRIBUTE x42 NUMERIC
@ATTRIBUTE x43 NUMERIC
@ATTRIBUTE x44 NUMERIC
@ATTRIBUTE x45 NUMERIC
@ATTRIBUTE x46 NUMERIC
@ATTRIBUTE x47 NUMERIC
@ATTRIBUTE x48 NUMERIC
@ATTRIBUTE x49 NUMERIC
@ATTRIBUTE x50 NUMERIC
@ATTRIBUTE x51 NUMERIC
@ATTRIBUTE x52 NUMERIC
@ATTRIBUTE x53 NUMERIC
@ATTRIBUTE x54 NUMERIC
@ATTRIBUTE x55 NUMERIC
@ATTRIBUTE x56 NUMERIC
@ATTRIBUTE x57 NUMERIC
@ATTRIBUTE x58 NUMERIC
@ATTRIBUTE x59 NUMERIC
@ATTRIBUTE x60 NUMERIC
@ATTRIBUTE x61 NUMERIC
@ATTRIBUTE x62 NUMERIC
@ATTRIBUTE x63 NUMERIC
@ATTRIBUTE x64 NUMERIC
@ATTRIBUTE x65 NUMERIC
@ATTRIBUTE x66 NUMERIC
@ATTRIBUTE x67 NUMERIC
@ATTRIBUTE x68 NUMERIC
@ATTRIBUTE x69 NUMERIC
@ATTRIBUTE x70 NUMERIC
@ATTRIBUTE x71 NUMERIC
@ATTRIBUTE x72 NUMERIC
@ATTRIBUTE x73 NUMERIC
@ATTRIBUTE x74 NUMERIC
@ATTRIBUTE x75 NUMERIC
@ATTRIBUTE x76 NUMERIC
@ATTRIBUTE x77 NUMERIC
@ATTRIBUTE x78 NUMERIC
@ATTRIBUTE x79 NUMERIC
@ATTRIBUTE x80 NUMERIC
@ATTRIBUTE x81 NUMERIC
@ATTRIBUTE x82 NUMERIC
@ATTRIBUTE x83 NUMERIC
@ATTRIBUTE x84 NUMERIC
@ATTRIBUTE x85 NUMERIC
@ATTRIBUTE x86 NUMERIC
@ATTRIBUTE x87 NUMERIC
@ATTRIBUTE x88 NUMERIC
@ATTRIBUTE x89 NUMERIC
@ATTRIBUTE x90 NUMERIC
@ATTRIBUTE x91 NUMERIC
@ATTRIBUTE x92 NUMERIC
@ATTRIBUTE x93 NUMERIC
@ATTRIBUTE x94 NUMERIC
@ATTRIBUTE x95 NUMERIC
@ATTRIBUTE x96 NUMERIC
@ATTRIBUTE x97 NUMERIC
@ATTRIBUTE x98 NUMERIC
@ATTRIBUTE x99 NUMERIC
@ATTRIBUTE x100 NUMERIC
@ATTRIBUTE x101 NUMERIC
@ATTRIBUTE x102 NUMERIC
@ATTRIBUTE x103 NUMERIC
@ATTRIBUTE x104 NUMERIC
@DATA
Positive,-0.711293,0.312558,0.802674,0.130107,-0.188575,-0.957149,-0.856315,-0.768336,-0.63973,-0.637306,-0.0130013,-0.101106,-0.440624,-0.475044,0.883534,1.29254,-0.910103,-1.09751,-1.15806,-0.96145,-0.590742,-0.805593,-0.873882,0.0978069,0.53174,-0.535501,-0.89396,0.902073,1.42754,-0.994099,-1.12615,-1.41035,-0.976767,-1.56669,-0.111916,-1.7729,-0.481328,-1.132,-0.598784,1.42973,0.268176,1.15492,-0.736829,-0.782657,-0.718466,-0.646333,-0.429427,-0.0785305,-0.603979,-0.816154,-0.237382,-0.675178,-0.610132,-0.367842,0.822762,0.291001,0.0913502,-0.130981,-0.273251,-0.105948,-0.442208,-0.0075784,-0.203639,0.682928,-0.317931,-0.618896,0.217996,0.764157,-0.103778,0.33853,-0.394311,-1.00146,-0.579427,-0.318768,0.207897,-0.326505,-0.0267634,-0.395816,1.10538,-0.110846,1.43332,2.22186,-0.300551,-1.00676,-1.33167,-1.02299,-1.19995,-0.75037,-0.502965,0.504325,-0.700741,-0.603257,-0.363261,1.33279,0.346757,0.220607,-0.489619,-0.784887,-0.36785,-0.470089,-0.512836,-0.298698,0.633698,-0.675528
Positive,-0.711293,-0.644483,-0.35633,0.845398,0.869247,0.243956,0.136815,0.515999,0.0118289,-0.221478,1.42399,-0.647915,-0.635979,1.78216,-0.327355,0.220761,1.32081,-0.173452,-0.166049,-0.274401,-0.501673,-0.099758,-0.367255,-0.336464,0.815577,0.211634,0.498323,0.274738,1.96244,0.0234064,-1.27478,-1.568,-0.862985,-1.50803,-0.469907,-0.587188,-0.307519,0.282889,0.590688,1.39988,0.882487,0.634942,-0.529131,-1.15456,-0.794618,-1.37234,-0.802087,-0.93722,-0.464012,-0.335155,0.860892,1.34368,-0.610132,-1.18715,-0.549889,0.881055,1.06907,1.22516,1.03542,0.177565,0.0786625,-0.324368,-0.243405,0.392772,-0.430486,-0.618896,-0.802426,-0.601269,0.711433,0.851496,1.28395,0.924542,0.0955291,-0.201944,-0.278951,-0.223382,0.763649,0.595219,-0.539994,-0.431767,0.168213,1.48369,0.424863,0.0927301,-0.269791,-0.484731,-0.334949,-0.473936,-0.370577,0.549374,0.416209,1.01202,-0.0553567,1.30591,0.969026,0.371276,-0.293164,-0.773354,-1.9191,-1.92001,-1.67879,-1.56363,-0.806303,1.71176
Positive,0.156752,0.292574,1.17614,0.0997719,-0.618642,-0.971289,-0.801683,-0.739656,-0.310177,-0.731178,-1.23604,-0.749453,-0.245268,-0.475044,-0.318544,0.244188,0.213132,0.253349,-0.352635,0.186004,0.146103,-0.176875,0.230519,1.51564,-0.331135,-0.500467,0.605766,-1.34467,-1.03843,1.01417,1.61661,2.0903,0.944252,0.890765,0.849864,0.673433,0.675054,-1.11943,0.24872,-0.749261,1.09403,0.568674,-1.04713,-0.627249,-1.38316,-1.01329,-1.07035,-1.10276,-0.749916,0.513395,-0.670212,0.521249,0.503481,0.492941,0.619911,0.506088,-0.214864,-0.835967,-0.831267,-0.122284,-0.65076,-0.424346,-0.283093,0.673592,0.471629,-0.618896,-0.466754,-0.720735,0.0878213,0.739416,0.976592,0.966733,0.75926,-0.443237,-0.325331,-0.349915,0.0346845,-0.222145,1.31528,-1.78435,-2.5972,-0.39489,1.29416,2.23767,2.56048,2.86464,3.39612,0.703219,-0.090191,0.483741,-0.00933729,4.30375,-0.293045,-0.803342,-1.01651,1.67855,0.216631,0.0294466,0.277139,1.37769,0.987765,0.859597,-3.07382,0.0972555
Positive,0.931792,-0.901961,-0.786736,0.714711,0.792993,1.06769,0.720608,1.14959,0.718733,0.227321,0.737549,-1.9341,-1.05909,-0.475044,-0.199033,-0.00786808,0.169265,0.312945,0.154511,-0.0943528,-0.0790613,-0.0806454,0.334072,-0.972884,-1.50239,-1.00073,-0.89396,-0.464938,0.0717655,-0.117162,0.597582,0.888529,0.709023,0.214195,-0.25311,-0.638789,-0.313782,0.418749,-0.122036,-0.749261,-1.37732,0.337455,0.609761,1.43645,0.68378,0.806602,0.849846,-0.337955,0.194361,1.55064,-0.634182,-0.661618,-0.610132,-1.16494,-0.767033,1.59343,0.589198,0.26896,0.108964,0.901502,1.93952,0.253191,-0.0801049,0.283892,-1.03962,2.55977,-0.468233,-0.160358,0.241041,0.217993,1.3816,0.722795,-0.202792,-0.0834858,-0.493444,-0.222282,0.101265,-1.35101,-0.539994,0.301846,0.145267,-0.278547,0.0195976,-0.399357,-0.196641,0.592214,0.176611,-0.391512,-0.342394,0.334586,-0.23914,-0.603257,-0.440718,0.334082,0.73676,-0.117888,-0.0960679,0.207611,0.273159,-0.282608,-0.109612,-0.442584,0.300578,-0.984369
Positive,-0.711293,-1.1524,-0.741422,0.990918,0.902461,0.996187,0.950876,1.36499,1.18816,0.639658,0.17934,0.0828217,0.523392,-0.475044,-0.90604,-0.392462,0.720363,1.12137,0.923893,0.374581,0.140809,-0.180209,-0.513091,-0.624352,0.496552,1.15676,0.189424,-1.44399,-0.818733,1.2294,1.4937,0.991531,1.50294,1.93716,1.86481,-0.195463,1.95044,-0.0943327,-0.960817,-0.749261,-1.79723,-0.63022,0.743628,1.71386,2.25471,1.88591,1.60108,1.34157,0.139635,0.487927,-1.26738,-0.902544,-0.610132,-0.702042,-0.894785,-0.516449,0.53841,0.893335,1.25411,1.92034,0.655085,0.298305,-0.158226,0.676296,-0.343067,-0.618896,-1.42946,-1.80011,-1.10732,0.165119,-0.448265,0.421101,-0.260326,1.99048,5.1773,3.59573,0.417948,0.21178,-0.539994,0.527671,1.32306,1.12311,-0.790594,-0.403734,-1.69728,-1.2463,-1.25141,-0.617415,-0.478139,-0.68929,-0.663938,-0.603257,-0.964586,-1.01738,0.523834,0.944206,0.777712,0.832649,1.24367,1.66076,-0.240034,-0.0370603,0.156819,-1.01022
Positive,-0.711293,-1.47859,-1.97814,1.12435,1.95242,1.77601,1.49664,1.5393,1.65775,1.19086,1.5989,0.418871,-1.12093,-0.475044,-1.54905,-1.22074,1.5172,1.70221,1.67694,0.834157,0.929248,0.356945,0.241912,0.217702,0.87328,-1.43907,1.38473,-1.42543,-0.920936,0.936562,1.22208,1.20168,2.69381,2.14467,1.31487,2.07887,1.17769,-1.88639,-0.962125,1.51182,-0.583656,1.08191,1.59542,-0.158992,-0.655764,-0.752694,-0.866574,-1.11281,-0.617909,-1.13508,-1.60106,-0.323251,1.03277,-1.54714,-1.93283,1.44602,2.42885,1.91944,0.888801,0.600148,-0.118167,0.0828976,-0.252151,-2.59709,-1.51023,-0.618896,-1.8815,-2.78623,-0.168073,2.68893,3.51098,2.74232,1.03826,0.620467,0.285046,-0.263919,-0.0750366,-2.28045,-0.539994,-1.35427,-1.61034,-1.19062,-0.474771,0.321995,0.556325,-0.696527,1.74125,4.43359,3.94186,-0.855776,-0.762621,-0.603257,-1.08505,-1.43276,0.919875,1.23563,1.04757,0.870232,1.22993,0.44669,0.957869,0.336321,0.463798,-0.628816
Positive,-0.711293,0.480672,1.55954,-0.249344,-0.814251,-1.0156,-1.05117,-1.1969,-1.08517,-0.844056,-1.04022,0.597664,1.08492,2.659,0.0714965,0.932411,0.287512,-0.439871,-0.562297,-0.463759,-0.77459,-0.786702,-0.835904,-1.82958,0.641519,0.866702,-0.89396,-0.766061,0.711319,1.20514,0.836607,-0.309576,-1.07144,-0.463297,-0.700168,-1.73906,-1.07479,-1.66748,0.920879,1.19094,0.28444,1.13819,-0.240653,-1.17927,-1.07364,-0.413065,-0.540649,-0.363406,0.0762851,-0.674343,-1.55406,0.109406,-0.610132,-0.401654,0.252842,0.789622,0.737002,-0.190776,-0.445251,-0.0946634,-0.189825,-0.428147,-0.157363,-1.70809,0.138712,-0.618896,0.0780844,0.987328,-0.294288,-0.442457,-0.509832,-0.0278968,0.205063,-0.307007,-0.418986,-0.254596,0.331669,0.341781,2.18198,-1.54112,-1.94851,1.05833,0.750456,1.75303,1.89766,0.543563,1.49278,0.579341,0.605898,-0.93007,1.22513,0.42563,-0.189115,0.0550233,0.805346,0.337871,-1.10046,-0.398549,-0.593207,0.702591,1.16023,2.53276,-1.9383,0.613352
Positive,0.931792,-0.349028,0.57114,0.271252,0.173797,0.288745,-0.314804,-0.408664,-0.559061,-0.680751,-0.710588,1.32939,0.759978,-0.475044,-0.750384,-0.555852,0.35181,0.507356,1.02595,0.363127,1.13656,0.90899,0.732335,0.564143,0.562439,0.609237,-0.89396,-0.524817,1.2047,0.610843,0.238552,0.00586039,-0.702718,-1.00798,-1.97334,-1.43999,-0.788235,0.870869,1.23929,-0.749261,-1.71022,-0.0657608,1.94164,2.4308,1.13534,0.18847,-0.51804,-0.302025,-0.345605,-0.109415,0.463736,0.378082,-0.610132,-0.457719,-0.737347,-1.12893,-1.13541,-1.01754,-0.851019,-1.39057,3.78377,5.41387,1.49874,0.326557,0.836106,-0.618896,-0.289027,-0.542785,0.0291646,0.750339,0.712878,0.406861,0.121634,0.0831917,-0.115951,-0.31603,0.765646,0.162051,-0.539994,-0.91008,-0.622318,0.489434,0.743457,1.11439,0.340042,0.775301,0.730329,0.0922677,-0.268715,0.519353,1.33355,0.23856,-1.44926,-2.17037,0.726807,0.592321,2.66323,2.83968,1.02599,0.547542,0.545302,-0.364783,0.0764798,0.0532649
Positive,1.0186,-0.570918,-0.346207,0.524911,0.600398,0.503762,0.630458,-0.203442,0.860114,-1.00038,0.337534,0.389828,-0.340492,-0.475044,0.481674,0.629453,0.346864,-0.571512,-0.716808,-0.8976,-1.17239,-0.750922,-0.45663,-0.161501,-0.444672,0.244225,1.58618,-0.237087,-1.06136,-0.164257,0.523713,1.3096,0.986114,0.570556,1.85031,0.483119,-0.95265,0.154772,-0.174814,-0.749261,-0.773375,0.309667,1.42477,0.622575,0.0951104,-0.123329,-0.452188,-0.357845,-0.270315,-1.15766,0.43908,-0.252613,0.312939,-0.00694757,1.3593,1.56244,-0.338353,-1.08586,-0.429707,-0.786466,-1.22219,-0.734443,-0.420589,0.494439,-0.148959,-0.0459653,-0.06538,0.514491,0.824196,-0.365102,-0.262485,0.28413,-0.273013,-0.430954,-0.167982,-0.385529,0.310209,0.414985,1.22726,-0.150402,-0.529774,-1.3168,0.0869232,0.954147,1.41066,0.981424,0.426775,-0.0538624,-0.27303,-0.373946,0.0595286,-0.603257,-0.900475,0.240895,0.116519,0.648428,0.351681,0.0593988,1.50514,0.163477,-0.712393,1.13535,0.517094,-0.204783
Positive,-0.711293,-1.7276,-2.97167,0.191705,1.60526,2.8188,3.14783,3.45364,3.75632,3.65092,1.07554,0.989891,-0.463202,-0.475044,-1.97519,-2.68856,0.555623,2.29341,2.8013,2.57488,3.12971,2.7218,0.919693,2.10047,0.878488,-0.697639,-0.89396,-1.19651,0.659527,1.61058,0.947411,0.0176893,-0.135393,-0.778341,-0.173365,-0.46845,-0.917418,0.845334,-0.0557361,-0.749261,-0.241147,1.8718,1.04948,-0.660488,-1.26984,-1.57889,-1.47822,-1.10468,-1.5393,-0.970699,0.898508,-0.104084,-0.610132,-1.67302,-2.08178,0.65119,2.47827,2.51845,1.52053,1.34999,0.105878,-0.0491395,-0.373136,0.840948,-1.49571,-0.618896,-1.35854,-1.60605,1.65227,1.86378,1.41757,1.26094,0.523224,0.177475,-0.117476,-0.474459,0.320121,-1.66528,-0.539994,-1.06451,-0.779112,0.700121,0.85424,1.97721,0.90198,-0.0430882,-0.046615,0.0529034,-0.424438,0.636686,-0.914949,0.868124,-1.02408,-0.746122,1.36502,1.90734,1.30631,0.209791,-0.855145,-0.937227,-0.571694,-0.662167,0.507535,-0.894937
