@RELATION Parkinson
@ATTRIBUTE class {Positive,Negative}
@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE x8 NUMERIC
@ATTRIBUTE x9 NUMERIC
@ATTRIBUTE x10 NUMERIC
@ATTRIBUTE x11 NUMERIC
@ATTRIBUTE x12 NUMERIC
@ATTRIBUTE x13 NUMERIC
@ATTRIBUTE x14 NUMERIC
@ATTRIBUTE x15 NUMERIC
@ATTRIBUTE x16 NUMERIC
@ATTRIBUTE x17 NUMERIC
@ATTRIBUTE x18 NUMERIC
@ATTRIBUTE x19 NUMERIC
@ATTRIBUTE x20 NUMERIC
@ATTRIBUTE x21 NUMERIC
@ATTRIBUTE x22 NUMERIC
@ATTRIBUTE x23 NUMERIC
@ATTRIBUTE x24 NUMERIC
@ATTRIBUTE x25 NUMERIC
@ATTRIBUTE x26 NUMERIC
@ATTRIBUTE x27 NUMERIC
@ATTRIBUTE x28 NUMERIC
@ATTRIBUTE x29 NUMERIC
@ATTRIBUTE x30 NUMERIC
@ATTRIBUTE x31 NUMERIC
@ATTRIBUTE x32 NUMERIC
@ATTRIBUTE x33 NUMERIC
@ATTRIBUTE x34 NUMERIC
@ATTRIBUTE x35 NUMERIC
@ATTRIBUTE x36 NUMERIC
@ATTRIBUTE x37 NUMERIC
@ATTRIBUTE x38 NUMERIC
@ATTRIBUTE x39 NUMERIC
@ATTRIBUTE x40 NUMERIC
@ATTRIBUTE x41 NUMERIC
@ATTRIBUTE x42 NUMERIC
@ATTRIBUTE x43 NUMERIC
@ATTRIBUTE x44 NUMERIC
@ATTRIBUTE x45 NUMERIC
@ATTRIBUTE x46 NUMERIC
@ATTRIBUTE x47 NUMERIC
@ATTRIBUTE x48 NUMERIC
@ATTRIBUTE x49 NUMERIC
@ATTRIBUTE x50 NUMERIC
@ATTRIBUTE x51 NUMERIC
@ATTRIBUTE x52 NUMERIC
@ATTRIBUTE x53 NUMERIC
@ATTRIBUTE x54 NUMERIC
@ATTRIBUTE x55 NUMERIC
@ATTRIBUTE x56 NUMERIC
@ATTRIBUTE x57 NUMERIC
@ATTRIBUTE x58 NUMERIC
@ATTRIBUTE x59 NUMERIC
@ATTRIBUTE x60 NUMERIC
@ATTRIBUTE x61 NUMERIC
@ATTRIBUTE x62 NUMERIC
@ATTRIBUTE x63 NUMERIC
@ATTRIBUTE x64 NUMERIC
@ATTRIBUTE x65 NUMERIC
@ATTRIBUTE x66 NUMERIC
@ATTRIBUTE x67 NUMERIC
@ATTRIBUTE x68 NUMERIC
@ATTRIBUTE x69 NUMERIC
@ATTRIBUTE x70 NUMERIC
@ATTRIBUTE x71 NUMERIC
@ATTRIBUTE x72 NUMERIC
@ATTRIBUTE x73 NUMERIC
@ATTRIBUTE x74 NUMERIC
@ATTRIBUTE x75 NUMERIC
@ATTRIBUTE x76 NUMERIC
@ATTRIBUTE x77 NUMERIC
@ATTRIBUTE x78 NUMERIC
@ATTRIBUTE x79 NUMERIC
@ATTRIBUTE x80 NUMERIC
@ATTRIBUTE x81 NUMERIC
@ATTRIBUTE x82 NUMERIC
@ATTRIBUTE x83 NUMERIC
@ATTRIBUTE x84 NUMERIC
@ATTRIBUTE x85 NUMERIC
@ATTRIBUTE x86 NUMERIC
@ATTRIBUTE x87 NUMERIC
@ATTRIBUTE x88 NUMERIC
@ATTRIBUTE x89 NUMERIC
@ATTRIBUTE x90 NUMERIC
@ATTRIBUTE x91 NUMERIC
@ATTRIBUTE x92 NUMERIC
@ATTRIBUTE x93 NUMERIC
@ATTRIBUTE x94 NUMERIC
@ATTRIBUTE x95 NUMERIC
@ATTRIBUTE x96 NUMERIC
@ATTRIBUTE x97 NUMERIC
@ATTRIBUTE x98 NUMERIC
@ATTRIBUTE x99 NUMERIC
@ATTRIBUTE x100 NUMERIC
@ATTRIBUTE x101 NUMERIC
@ATTRIBUTE x102 NUMERIC
@ATTRIBUTE x103 NUMERIC
@ATTRIBUTE x104 NUMERIC
@DATA
Positive,0,0.236875,0.324159,0.214729,0.124496,0.048923,0.023559,0.01266,0.007008,0.003687,0.003903,58.4542,0.001896,0,0.263364,0.344124,0.190136,0.103167,0.047194,0.023698,0.015128,0.007031,0.002056,0.004102,68.9591,0.002218,0,0.2876,0.347385,0.177722,0.092858,0.045206,0.026746,0.008901,0.008763,0.001405,0.003415,24.1231,0.00373,0.000292,0.25741,0.337698,0.184703,0.103076,0.055731,0.029162,0.015781,0.009608,0.003613,0.002926,50.1735,0.006241,0,0.190419,0.291217,0.213156,0.139125,0.074134,0.042062,0.021095,0.011195,0.009363,0.008233,78.5173,0.006315,0,0.212366,0.282746,0.208571,0.123751,0.067543,0.046037,0.030899,0.012366,0.009696,0.006025,79.1704,0.007419,0,0.17528,0.315044,0.228741,0.126453,0.063631,0.042082,0.023404,0.011162,0.00697,0.007232,72.5074,0.012131,0,0.154852,0.296601,0.228255,0.135855,0.079855,0.04529,0.027678,0.017786,0.008965,0.004864,77.0333,0.020423
Positive,0,0.158428,0.275613,0.234017,0.159593,0.081881,0.042937,0.025915,0.010893,0.004759,0.005965,51.0736,0.001697,0.00026,0.180079,0.29778,0.248773,0.129371,0.072214,0.037794,0.015986,0.010207,0.004057,0.003479,72.7438,0.003135,0.000311,0.248019,0.361338,0.206068,0.08953,0.042927,0.027681,0.009219,0.007726,0.003542,0.003637,52.3737,0.006457,0.000288,0.290347,0.320726,0.188768,0.096665,0.054508,0.021988,0.013325,0.005593,0.004035,0.003757,67.8595,0.012643,0,0.134298,0.284308,0.225346,0.159058,0.089341,0.052971,0.027001,0.012944,0.008491,0.006242,79.3879,0.006322,0,0.130669,0.267624,0.204009,0.167965,0.099174,0.061379,0.028243,0.014964,0.010981,0.014992,78.9835,0.010886,0.00026,0.187952,0.299992,0.232738,0.127241,0.068857,0.035013,0.020912,0.012476,0.00856,0.005999,79.225,0.021963,0,0.179831,0.260657,0.215071,0.136328,0.085418,0.051963,0.02268,0.017939,0.015738,0.014375,77.2982,0.037968
Positive,0.00014,0.235237,0.339802,0.213911,0.110227,0.048535,0.024625,0.012956,0.008973,0.003445,0.002148,49.7031,0.002095,0,0.180685,0.298793,0.219659,0.141474,0.067508,0.04724,0.022226,0.00986,0.006418,0.006136,57.4537,0.002261,0.000335,0.145844,0.283059,0.233669,0.154271,0.095812,0.042532,0.022224,0.011549,0.005814,0.004892,24.3742,0.005673,0,0.301689,0.318563,0.17863,0.105755,0.045056,0.025536,0.011557,0.004819,0.003173,0.005223,43.2034,0.010035,0,0.187776,0.292167,0.213508,0.137154,0.078326,0.035937,0.023393,0.014547,0.010902,0.00629,78.1273,0.007666,0,0.151135,0.267025,0.219096,0.14678,0.093154,0.05664,0.030746,0.018163,0.009486,0.007775,78.9402,0.008454,0,0.100579,0.209697,0.249611,0.185425,0.117248,0.056757,0.042496,0.019777,0.011834,0.006577,76.9875,0.018524,0,0.190719,0.283238,0.223095,0.132615,0.086694,0.033879,0.025427,0.009119,0.008381,0.006832,72.9256,0.030364
Positive,0.000265,0.137323,0.257585,0.230493,0.157063,0.104484,0.054328,0.032454,0.015108,0.005916,0.00498,33.7132,0.001266,0,0.188905,0.287894,0.218506,0.143164,0.080299,0.041488,0.020057,0.010293,0.006827,0.002566,41.8364,0.001647,0,0.20135,0.312019,0.202152,0.131454,0.078439,0.040599,0.018556,0.008354,0.003449,0.003629,55.0864,0.004823,0,0.169185,0.311016,0.211058,0.14133,0.078251,0.043519,0.024212,0.008395,0.00602,0.007015,43.7837,0.006284,0.000327,0.120735,0.268727,0.237692,0.164549,0.094981,0.052791,0.029829,0.015642,0.009247,0.005479,72.9917,0.004273,0.015152,0.115844,0.211494,0.195461,0.121796,0.078841,0.050426,0.032905,0.060421,0.067342,0.050317,78.3028,0.004803,0.000353,0.199235,0.264318,0.195888,0.137574,0.078946,0.059157,0.028928,0.017332,0.010894,0.007375,76.7674,0.015263,0,0.176445,0.275869,0.217751,0.127392,0.091854,0.051668,0.030835,0.016038,0.007686,0.004462,77.4634,0.019394
Positive,0,0.116795,0.259483,0.237941,0.160695,0.102522,0.058821,0.034677,0.017907,0.006979,0.004179,60.9368,0.002878,0,0.140277,0.271264,0.232991,0.166089,0.099704,0.051109,0.022175,0.009845,0.003481,0.003066,68.4899,0.004295,0.000242,0.139578,0.28879,0.239665,0.151519,0.079928,0.047123,0.027897,0.014489,0.004248,0.006521,44.8419,0.0029,0,0.146671,0.279431,0.213678,0.146112,0.10348,0.054184,0.029163,0.016248,0.005855,0.005179,33.587,0.00552,0,0.137145,0.237254,0.215142,0.149802,0.107411,0.077801,0.036921,0.0192,0.010701,0.008623,75.0617,0.006749,0,0.140528,0.272456,0.228046,0.159414,0.082198,0.054757,0.026458,0.031538,0.001718,0.002886,78.8922,0.011273,0,0.167388,0.282026,0.236325,0.13762,0.083753,0.043206,0.024525,0.011374,0.004939,0.008844,75.302,0.011271,0,0.131985,0.261015,0.22169,0.151792,0.098593,0.05704,0.03814,0.021143,0.010985,0.007618,64.181,0.018299
Positive,0,0.090058,0.207682,0.241539,0.195531,0.12392,0.06947,0.036476,0.020707,0.0084,0.006216,65.4727,0.001203,0,0.096051,0.235449,0.253935,0.18256,0.118697,0.060538,0.02977,0.012262,0.006463,0.004274,73.5132,0.001109,0.000509,0.140749,0.286124,0.231507,0.145437,0.082966,0.056909,0.029022,0.012896,0.008347,0.005534,9.06064,0.002897,0.000303,0.211738,0.335315,0.230349,0.113827,0.056738,0.028111,0.0129,0.004772,0.003571,0.002375,28.2136,0.007357,0,0.083882,0.200642,0.235665,0.204402,0.136234,0.07035,0.037096,0.013256,0.01055,0.007921,76.3967,0.002968,0.000305,0.080129,0.191591,0.225704,0.192995,0.139594,0.086756,0.039344,0.026356,0.011825,0.0054,78.5411,0.002719,0.000283,0.109414,0.246452,0.222871,0.144713,0.099811,0.064391,0.060659,0.031962,0.01034,0.009104,70.2322,0.010637,0,0.117008,0.249236,0.240059,0.170905,0.093884,0.061953,0.029569,0.018711,0.010252,0.008423,76.2184,0.020716
Positive,0,0.250655,0.355861,0.204497,0.103737,0.047319,0.019757,0.008237,0.004352,0.003154,0.002429,67.8859,0.00345,0.000361,0.207512,0.328552,0.221614,0.121816,0.06222,0.033909,0.013357,0.007116,0.002206,0.001337,70.4229,0.003939,0,0.182351,0.328702,0.238989,0.136806,0.061119,0.025968,0.014883,0.007059,0.001466,0.002657,13.4315,0.007214,0.00026,0.258282,0.337152,0.194414,0.096239,0.050027,0.031467,0.015048,0.008276,0.005664,0.003171,28.9704,0.008729,0,0.16242,0.309376,0.235702,0.131809,0.073943,0.040397,0.02328,0.011014,0.006201,0.005857,78.1215,0.007639,0.000274,0.170052,0.307656,0.198017,0.143465,0.085081,0.045751,0.02687,0.013434,0.005273,0.004126,78.549,0.009176,0,0.099878,0.244391,0.233151,0.192691,0.112465,0.049941,0.03971,0.016233,0.005762,0.005778,69.3993,0.021368,0.000543,0.195519,0.309646,0.21895,0.131667,0.066517,0.032159,0.021002,0.012552,0.005284,0.006161,66.9766,0.029475
Positive,0.000265,0.182646,0.314461,0.218535,0.136519,0.08311,0.034125,0.016372,0.007489,0.003575,0.002902,77.7625,0.003119,0,0.150983,0.264199,0.223304,0.148677,0.102278,0.050874,0.031767,0.014746,0.0084,0.004771,69.3685,0.003623,0,0.197572,0.341572,0.222433,0.123415,0.065679,0.028998,0.01193,0.003371,0.002005,0.003023,64.1137,0.007944,0,0.151336,0.297855,0.237125,0.158471,0.085503,0.037411,0.015197,0.008563,0.004392,0.004147,61.4639,0.009581,0,0.197065,0.26972,0.2056,0.128338,0.085067,0.048795,0.028684,0.019373,0.009811,0.007544,79.2885,0.009922,0,0.151124,0.255382,0.220597,0.152448,0.096828,0.057471,0.033325,0.016557,0.007818,0.008449,78.3894,0.010188,0.000404,0.128452,0.240674,0.219938,0.164943,0.1024,0.059814,0.040365,0.019133,0.016143,0.007736,77.9612,0.023478,0,0.127055,0.263977,0.232112,0.160622,0.105857,0.057376,0.030238,0.012575,0.006132,0.004055,78.1725,0.030417
Positive,0.000279,0.164458,0.276037,0.225375,0.150673,0.08901,0.052569,0.01849,0.015951,0.002751,0.004406,65.0807,0.001998,0,0.235724,0.315452,0.223174,0.118083,0.058323,0.025008,0.009525,0.007277,0.003704,0.00373,55.9398,0.003175,0.000554,0.215726,0.282461,0.20084,0.1298,0.084526,0.042876,0.020488,0.014447,0.005471,0.002813,49.8157,0.004702,0,0.201566,0.310109,0.227009,0.1273,0.068797,0.03433,0.015631,0.008302,0.004619,0.002336,61.0669,0.007581,0,0.191446,0.323126,0.205767,0.12379,0.068447,0.038967,0.021322,0.011077,0.008511,0.007546,78.07,0.007036,0.000521,0.223804,0.283238,0.220077,0.127823,0.067159,0.036616,0.018922,0.010322,0.006756,0.00476,77.9841,0.011732,0,0.19697,0.222871,0.178739,0.141383,0.087912,0.060491,0.04223,0.022912,0.015723,0.030769,73.0262,0.01765,0,0.124719,0.265992,0.209164,0.164425,0.104897,0.056333,0.033767,0.019944,0.013333,0.007427,77.7838,0.02444
Positive,0,0.069647,0.166067,0.21639,0.184013,0.152534,0.101688,0.056233,0.03322,0.014742,0.005465,73.18,0.001873,0,0.066741,0.17198,0.228661,0.199325,0.147055,0.096252,0.050967,0.022903,0.00914,0.006975,73.5826,0.002019,0,0.155192,0.327351,0.250284,0.139287,0.06585,0.03366,0.013175,0.008585,0.003756,0.002858,63.6038,0.004975,0,0.230102,0.361097,0.219664,0.105182,0.046876,0.019947,0.008869,0.00481,0.000793,0.002659,68.4653,0.008052,0,0.074868,0.196226,0.234459,0.205191,0.137464,0.077688,0.039929,0.020296,0.009379,0.004497,78.7703,0.003396,0,0.068589,0.181535,0.196746,0.153263,0.103815,0.123231,0.077354,0.058613,0.030764,0.006089,78.8203,0.004398,0,0.137098,0.259243,0.244073,0.166705,0.085644,0.052363,0.02833,0.013249,0.007875,0.005419,78.4374,0.012676,0,0.13061,0.255874,0.247226,0.15911,0.09353,0.055654,0.025084,0.019134,0.009008,0.004771,78.393,0.019174
