@RELATION Parkinson
@ATTRIBUTE class {Positive,Negative}
@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE x8 NUMERIC
@ATTRIBUTE x9 NUMERIC
@ATTRIBUTE x10 NUMERIC
@ATTRIBUTE x11 NUMERIC
@ATTRIBUTE x12 NUMERIC
@ATTRIBUTE x13 NUMERIC
@ATTRIBUTE x14 NUMERIC
@ATTRIBUTE x15 NUMERIC
@ATTRIBUTE x16 NUMERIC
@ATTRIBUTE x17 NUMERIC
@ATTRIBUTE x18 NUMERIC
@ATTRIBUTE x19 NUMERIC
@ATTRIBUTE x20 NUMERIC
@ATTRIBUTE x21 NUMERIC
@ATTRIBUTE x22 NUMERIC
@ATTRIBUTE x23 NUMERIC
@ATTRIBUTE x24 NUMERIC
@ATTRIBUTE x25 NUMERIC
@ATTRIBUTE x26 NUMERIC
@ATTRIBUTE x27 NUMERIC
@ATTRIBUTE x28 NUMERIC
@ATTRIBUTE x29 NUMERIC
@ATTRIBUTE x30 NUMERIC
@ATTRIBUTE x31 NUMERIC
@ATTRIBUTE x32 NUMERIC
@ATTRIBUTE x33 NUMERIC
@ATTRIBUTE x34 NUMERIC
@ATTRIBUTE x35 NUMERIC
@ATTRIBUTE x36 NUMERIC
@ATTRIBUTE x37 NUMERIC
@ATTRIBUTE x38 NUMERIC
@ATTRIBUTE x39 NUMERIC
@ATTRIBUTE x40 NUMERIC
@ATTRIBUTE x41 NUMERIC
@ATTRIBUTE x42 NUMERIC
@ATTRIBUTE x43 NUMERIC
@ATTRIBUTE x44 NUMERIC
@ATTRIBUTE x45 NUMERIC
@ATTRIBUTE x46 NUMERIC
@ATTRIBUTE x47 NUMERIC
@ATTRIBUTE x48 NUMERIC
@ATTRIBUTE x49 NUMERIC
@ATTRIBUTE x50 NUMERIC
@ATTRIBUTE x51 NUMERIC
@ATTRIBUTE x52 NUMERIC
@DATA
Positive,-0.548882,0.355019,0.581054,0.164463,-0.149308,-0.632022,-0.852016,-0.981712,-0.94282,-0.0579884,0.023901,0.385327,-0.352562,-0.219702,0.615669,0.533553,0.0801862,-0.710433,-1.04487,-0.418319,-0.0410471,-0.535021,-0.0894222,-0.258148,0.475174,-0.573411,-0.241574,-0.209971,1.42648,0.683211,-0.432419,-1.15069,-0.462357,-0.539015,-0.673176,-0.33061,-0.172315,-0.540445,-0.758729,-0.534372,-0.604395,1.19675,0.922961,0.172118,-0.519287,-0.320702,-0.172642,-0.175656,-0.243502,-0.363958,0.278505,-0.777096
Positive,-0.548882,-0.806389,0.368112,0.745808,0.628831,0.105115,0.0468802,-0.275189,-0.514906,-0.287768,-0.283794,0.870132,-0.350129,-0.219702,-0.811039,0.0516757,-0.130268,1.18015,0.824872,0.49758,-0.23269,-0.366392,0.0252739,0.872011,0.400863,0.444747,-0.0719768,0.0136375,0.919296,0.832445,-0.398599,-0.814969,-1.10807,-0.786338,-0.431911,-0.178682,-0.249359,0.881717,0.705408,-0.534372,-0.112226,-0.152929,0.43034,0.193675,-0.147732,0.205216,-0.622724,-0.163803,0.0139603,0.119013,0.347541,1.14034
Positive,-0.548882,0.300323,0.610334,0.18125,-0.226252,-0.428821,-1.35671,-0.706807,-0.122713,0.347552,-0.276375,0.168156,0.117101,-0.219702,-0.453633,0.0325879,0.565726,0.274281,0.469023,0.214668,-0.0520868,-0.158755,-0.108166,-0.0375861,0.383632,-0.269462,-0.241574,-1.52813,-2.12323,1.46243,2.09855,2.29372,0.878123,1.3558,0.908635,0.134155,-0.213243,0.408031,0.193288,-0.534372,0.102303,0.694977,0.730157,0.0244589,-0.0625075,-1.22004,-0.37535,-0.847137,-0.265702,-0.264022,-0.791871,0.309322
Positive,0.854025,-1.08707,-0.112109,1.33459,0.843187,0.378505,0.0320483,0.0631187,0.145192,-0.0885554,-0.40171,-2.69173,-1.06244,5.55905,-1.06993,-1.73696,-0.524605,-0.794028,-0.377035,-0.156301,0.103696,2.58409,5.05592,5.32421,0.130113,-1.34165,-0.0113133,0.212736,-0.282755,-0.54341,0.0448736,-0.16684,1.09735,0.00922375,0.459705,0.0443362,-0.16338,0.361426,-0.292326,-0.534372,-0.178942,0.418275,0.530479,-0.213573,0.282131,0.181967,0.111654,-0.311084,-0.292121,-0.384372,0.390575,-0.889551
Positive,-0.548882,-0.747471,-1.08214,0.259176,0.267498,0.981031,2.09286,0.91152,1.0157,0.294586,0.0841726,-1.53897,-0.201686,-0.219702,-0.638867,0.205652,0.978608,0.814507,-0.178599,0.102255,-0.361487,0.709378,-0.80152,-0.653773,0.364519,0.558397,-0.241574,-0.349232,0.313924,0.966372,0.0468478,0.141967,-0.359686,-0.42776,-0.634251,-0.524677,-0.0715899,0.0512014,-0.886796,-0.534372,-1.05495,-0.139486,0.67766,0.898429,0.732232,0.60535,0.769487,0.084429,-0.166716,-0.224109,-3.07054,-1.00922
Positive,-0.548882,-1.84973,-2.21055,1.23792,2.39896,2.37818,1.4789,0.932455,-0.438572,0.254797,-0.0243163,-0.795587,-1.51612,-0.103379,-1.69364,-2.37119,0.870567,2.25042,3.21414,2.01256,0.568301,0.373029,0.100607,-0.33692,0.224883,-1.95367,-0.056974,-1.37223,-0.884758,0.464044,0.351266,1.17355,1.57545,3.15842,3.14594,-0.00859969,-0.0553439,-1.02213,-0.981209,-0.534372,-1.35005,-0.581782,1.36402,1.76948,0.417716,0.992557,-0.00235262,-0.103992,-0.194579,-0.183231,0.0661564,-0.745075
Positive,-0.548882,-0.224412,1.14073,1.23969,-0.434909,-0.64128,-0.989211,-0.720325,-0.987104,-0.891203,-0.343292,0.164909,0.107714,-0.115202,-0.123277,1.32733,-0.406692,0.132532,-0.00818135,-0.435393,-0.331759,-0.4657,-0.484209,-0.497489,0.228012,-0.0574311,-0.241574,-1.5405,-0.954204,0.847865,2.41039,1.98646,0.255519,1.0793,0.257916,-0.446037,-0.263168,-1.19846,0.616803,3.51325,0.196879,1.68659,0.575279,-0.0187451,-1.41014,-1.35559,-0.773832,-0.581164,-0.383428,-0.298096,-2.34205,0.212166
Positive,-0.548882,0.492556,-0.0815041,-0.195885,-0.570409,-0.102061,-0.29722,-0.0738553,1.05803,0.0600635,-0.0825789,0.814743,0.901378,-0.219702,-0.453825,-0.338428,0.63497,0.516643,0.686197,0.264277,0.134001,-0.262995,-0.257048,0.0473617,0.164541,0.239764,0.0219538,-1.03629,-1.07945,0.354536,1.2195,1.33987,1.15736,1.14431,0.790389,0.545889,-0.140823,0.614178,0.931015,-0.534372,-1.15209,-0.0282642,1.06708,1.30085,1.2174,0.631831,0.0578925,-0.579382,-0.351193,-0.405039,0.575371,0.315114
Positive,-0.548882,0.376272,1.56452,-0.187921,-0.747952,-0.907691,-1.10704,-0.954556,-0.97169,-0.282498,-0.0822698,0.136202,-0.101913,-0.021,0.815416,0.549231,0.610982,-0.536315,-1.06757,-0.980742,-0.905246,-0.667691,-0.35184,-0.417583,0.00333851,0.693192,-0.241574,0.172768,-1.67933,-1.1837,0.208349,0.409146,1.2192,1.3294,1.48426,0.505757,1.29839,-0.430615,0.0631355,-0.534372,-1.19811,0.0473981,0.209625,1.47416,1.15328,0.549629,0.375688,-0.00846421,-0.0774611,-0.233808,0.474083,-0.338092
Positive,-0.548882,-2.03627,-2.34666,1.18041,2.42976,2.43781,2.08355,1.27136,1.28385,-0.0537723,-0.553471,0.526218,-1.36733,-0.219702,-1.89517,-2.69163,-0.465326,0.551492,1.09921,4.19007,3.31091,2.46674,1.79106,-0.250082,0.335922,-1.46059,-0.241574,-0.883725,-0.45376,1.25566,1.29512,0.263447,0.476755,-0.0501258,-0.28998,-0.244136,-0.2856,0.714996,-0.67757,-0.534372,-1.08204,-0.332528,1.63181,1.23194,0.394072,0.496115,-0.406238,-0.0712194,-0.241867,-0.36868,0.632825,-0.913594
