@RELATION Parkinson
@ATTRIBUTE class {Positive,Negative}
@ATTRIBUTE x1 NUMERIC
@ATTRIBUTE x2 NUMERIC
@ATTRIBUTE x3 NUMERIC
@ATTRIBUTE x4 NUMERIC
@ATTRIBUTE x5 NUMERIC
@ATTRIBUTE x6 NUMERIC
@ATTRIBUTE x7 NUMERIC
@ATTRIBUTE x8 NUMERIC
@ATTRIBUTE x9 NUMERIC
@ATTRIBUTE x10 NUMERIC
@ATTRIBUTE x11 NUMERIC
@ATTRIBUTE x12 NUMERIC
@ATTRIBUTE x13 NUMERIC
@ATTRIBUTE x14 NUMERIC
@ATTRIBUTE x15 NUMERIC
@ATTRIBUTE x16 NUMERIC
@ATTRIBUTE x17 NUMERIC
@ATTRIBUTE x18 NUMERIC
@ATTRIBUTE x19 NUMERIC
@ATTRIBUTE x20 NUMERIC
@ATTRIBUTE x21 NUMERIC
@ATTRIBUTE x22 NUMERIC
@ATTRIBUTE x23 NUMERIC
@ATTRIBUTE x24 NUMERIC
@ATTRIBUTE x25 NUMERIC
@ATTRIBUTE x26 NUMERIC
@ATTRIBUTE x27 NUMERIC
@ATTRIBUTE x28 NUMERIC
@ATTRIBUTE x29 NUMERIC
@ATTRIBUTE x30 NUMERIC
@ATTRIBUTE x31 NUMERIC
@ATTRIBUTE x32 NUMERIC
@ATTRIBUTE x33 NUMERIC
@ATTRIBUTE x34 NUMERIC
@ATTRIBUTE x35 NUMERIC
@ATTRIBUTE x36 NUMERIC
@ATTRIBUTE x37 NUMERIC
@ATTRIBUTE x38 NUMERIC
@ATTRIBUTE x39 NUMERIC
@ATTRIBUTE x40 NUMERIC
@ATTRIBUTE x41 NUMERIC
@ATTRIBUTE x42 NUMERIC
@ATTRIBUTE x43 NUMERIC
@ATTRIBUTE x44 NUMERIC
@ATTRIBUTE x45 NUMERIC
@ATTRIBUTE x46 NUMERIC
@ATTRIBUTE x47 NUMERIC
@ATTRIBUTE x48 NUMERIC
@ATTRIBUTE x49 NUMERIC
@ATTRIBUTE x50 NUMERIC
@ATTRIBUTE x51 NUMERIC
@ATTRIBUTE x52 NUMERIC
@DATA
Positive,0,0.132774,0.276534,0.216718,0.151778,0.094446,0.053986,0.033767,0.017426,0.013478,0.009092,79.5485,0.009028,0,0.16641,0.275649,0.205621,0.154336,0.08646,0.042457,0.026641,0.01917,0.015946,0.007309,79.2291,0.011289,0.000243,0.143119,0.291342,0.254361,0.14246,0.075936,0.043423,0.025365,0.011339,0.006108,0.006304,79.1489,0.018512,0,0.131279,0.290115,0.215707,0.156754,0.090073,0.048751,0.032171,0.017386,0.009733,0.00803,79.5629,0.030959
Positive,0,0.093858,0.231589,0.228218,0.17538,0.121027,0.073266,0.036405,0.022536,0.009644,0.008078,79.4014,0.008625,0,0.113278,0.231897,0.222104,0.166405,0.114455,0.071536,0.039569,0.020958,0.010519,0.009278,79.848,0.015215,0,0.128061,0.249716,0.23973,0.157383,0.09779,0.058854,0.031627,0.0185,0.009549,0.008789,79.2429,0.027465,0.000449,0.148074,0.28926,0.228899,0.160006,0.094053,0.048952,0.015802,0.007193,0.003493,0.003819,77.3599,0.057279
Positive,0.000263,0.17366,0.269892,0.22091,0.144386,0.080628,0.045765,0.033615,0.01538,0.008434,0.007066,79.5437,0.011855,0,0.130756,0.228069,0.209495,0.163768,0.109328,0.072173,0.052282,0.017265,0.010002,0.006862,79.2772,0.011977,0.000274,0.064596,0.158725,0.202495,0.175266,0.140424,0.099983,0.070593,0.049388,0.024202,0.014052,79.106,0.024054,0.001364,0.135109,0.222171,0.186806,0.188222,0.104381,0.062943,0.038977,0.030376,0.017764,0.011886,73.8909,0.039479
Positive,0,0.094913,0.224479,0.242102,0.163796,0.102285,0.059617,0.043141,0.040792,0.016634,0.012242,79.3463,0.006444,0.000577,0.130679,0.246025,0.212593,0.1515,0.116084,0.06849,0.033855,0.022771,0.008128,0.009299,79.3293,0.007505,0,0.162483,0.248961,0.204801,0.149046,0.088009,0.059917,0.044156,0.022735,0.010575,0.009318,78.7947,0.022212,0,0.127054,0.258349,0.223975,0.149448,0.098046,0.066048,0.038935,0.018704,0.011891,0.007551,79.0533,0.027554
Positive,0,0.1169,0.220296,0.200981,0.16257,0.114523,0.076488,0.052621,0.028191,0.01718,0.01025,79.5451,0.008938,0,0.080629,0.193483,0.18533,0.150256,0.08556,0.063935,0.032753,0.054513,0.071341,0.082199,79.5773,0.013696,0,0.173079,0.287714,0.232583,0.132379,0.087922,0.03811,0.022767,0.010913,0.007763,0.00677,76.6581,0.018807,0,0.098479,0.215363,0.219461,0.172372,0.115748,0.076941,0.049176,0.032366,0.011193,0.008901,78.8334,0.027269
Positive,0.000388,0.076759,0.186307,0.239229,0.208205,0.134635,0.071106,0.040337,0.020605,0.014573,0.007855,77.8864,0.004759,0,0.057092,0.161885,0.204321,0.209636,0.151604,0.098981,0.057626,0.033545,0.016806,0.008504,79.1913,0.003823,0,0.084776,0.191196,0.186723,0.138876,0.102347,0.070859,0.029163,0.035688,0.070637,0.089736,76.3106,0.018016,0,0.091908,0.202151,0.227857,0.178662,0.121215,0.077596,0.049031,0.023831,0.017604,0.010144,79.303,0.031474
Positive,0,0.131168,0.257873,0.226436,0.167364,0.093274,0.051452,0.033872,0.019902,0.008388,0.010272,78.3368,0.010663,0,0.159125,0.2828,0.201769,0.135961,0.084533,0.057156,0.041667,0.01935,0.008958,0.008682,79.5097,0.014211,0.000402,0.076009,0.180069,0.231299,0.164081,0.130791,0.090351,0.04359,0.033631,0.02266,0.027118,76.1556,0.033949,0.000286,0.140778,0.249473,0.225429,0.159285,0.077698,0.055484,0.029793,0.02563,0.018687,0.017456,75.6281,0.045169
Positive,0,0.128505,0.225451,0.189044,0.122164,0.077069,0.045474,0.021814,0.058885,0.079092,0.052501,79.3679,0.01316,0,0.14001,0.233771,0.208309,0.164025,0.104929,0.06372,0.040069,0.025322,0.012336,0.007509,79.8495,0.013499,0,0.105618,0.223705,0.220023,0.163937,0.118097,0.067716,0.046286,0.027319,0.016597,0.010701,79.1803,0.034818,0.000234,0.072042,0.17869,0.223764,0.164777,0.153947,0.111919,0.046879,0.02454,0.015396,0.00781,78.7104,0.038994
Positive,0.000218,0.149916,0.294102,0.241498,0.141405,0.07573,0.051681,0.027435,0.009774,0.004681,0.00356,79.453,0.009633,0.000104,0.151655,0.267649,0.224384,0.137781,0.088659,0.061867,0.03251,0.017453,0.011756,0.006182,79.4929,0.014501,0.000261,0.141263,0.22675,0.184222,0.150431,0.114912,0.083274,0.048684,0.024806,0.014778,0.01062,77.3161,0.024606,0,0.101976,0.255385,0.210826,0.165988,0.107117,0.063465,0.051935,0.02184,0.008665,0.012804,79.3845,0.036149
Positive,0,0.07078,0.18143,0.223738,0.209398,0.146376,0.080413,0.047314,0.022803,0.012975,0.00477,79.6285,0.004811,0,0.084322,0.199701,0.241127,0.190222,0.116684,0.076615,0.047761,0.026765,0.012319,0.004484,79.5007,0.00626,0,0.098372,0.218546,0.224199,0.166216,0.135247,0.075882,0.036765,0.020887,0.016107,0.007778,79.4251,0.016795,0.000409,0.095234,0.223991,0.237294,0.19316,0.126457,0.066086,0.027029,0.014102,0.009418,0.00682,79.3699,0.02854
Positive,0,0.163045,0.286408,0.214401,0.14919,0.086215,0.040881,0.027226,0.0152,0.009169,0.008265,79.2507,0.017397,0,0.129208,0.301174,0.263027,0.138821,0.081414,0.035597,0.022952,0.013061,0.009305,0.005441,79.39,0.017895,0,0.120551,0.225573,0.204771,0.148126,0.119776,0.080984,0.047027,0.026138,0.017398,0.009655,78.0069,0.032638,0,0.108476,0.234388,0.225584,0.164979,0.099945,0.074462,0.04426,0.024275,0.015527,0.008104,78.0048,0.048909
Positive,0,0.161886,0.243104,0.204904,0.156636,0.098629,0.064032,0.02956,0.021822,0.011654,0.007772,79.5319,0.013768,0,0.162693,0.27061,0.202155,0.150907,0.082001,0.052496,0.04397,0.019189,0.008114,0.007865,79.6578,0.017001,0,0.20173,0.251311,0.184572,0.120091,0.092998,0.064232,0.040605,0.020783,0.015467,0.008211,78.9588,0.034415,0,0.144768,0.295683,0.214694,0.149101,0.094372,0.048565,0.028781,0.012555,0.00755,0.003931,79.443,0.056421
Positive,0,0.148567,0.246792,0.206237,0.155883,0.105551,0.059833,0.032157,0.020225,0.01147,0.013285,79.1584,0.007829,0,0.200132,0.263899,0.181362,0.124877,0.093495,0.053864,0.03218,0.021441,0.011548,0.017202,79.5889,0.011395,0,0.203285,0.251709,0.208338,0.132391,0.082366,0.051954,0.028819,0.020453,0.008557,0.012127,79.2396,0.01788,0.000228,0.244912,0.260131,0.186287,0.125743,0.081306,0.044036,0.025372,0.015883,0.00796,0.008141,79.6523,0.033623
Positive,0.0005,0.270924,0.274525,0.179819,0.113152,0.064395,0.03587,0.023613,0.01749,0.01023,0.009482,79.2269,0.008806,0,0.203086,0.25451,0.19249,0.121782,0.08721,0.055061,0.037077,0.024318,0.013475,0.010991,79.8478,0.011589,0,0.267526,0.240332,0.189918,0.112073,0.072343,0.05449,0.025201,0.015912,0.008074,0.014131,79.9112,0.022146,0,0.224667,0.195962,0.163286,0.13732,0.095207,0.070852,0.050631,0.029615,0.02017,0.012292,79.9044,0.025283
Positive,0.000879,0.131036,0.235319,0.229345,0.147598,0.110498,0.061099,0.041341,0.021826,0.013242,0.007816,79.1183,0.008649,0.00014,0.193715,0.268491,0.203712,0.148489,0.086109,0.047793,0.025375,0.013207,0.007627,0.005342,79.5512,0.012372,0,0.194593,0.27661,0.209491,0.121603,0.069641,0.040476,0.024683,0.011736,0.017628,0.033539,78.8865,0.022575,0.000268,0.17847,0.242621,0.183454,0.157054,0.100171,0.062006,0.037683,0.020373,0.011807,0.006093,79.572,0.024916
Positive,0.000259,0.241117,0.275313,0.181753,0.117874,0.078811,0.041717,0.027929,0.01648,0.011219,0.007529,78.0536,0.009508,0,0.193948,0.257036,0.207579,0.15123,0.076736,0.042828,0.030391,0.017694,0.01168,0.010879,77.9858,0.010624,0,0.189167,0.261226,0.188764,0.14104,0.088322,0.05422,0.03481,0.018628,0.011566,0.012258,79.5909,0.02352,0.000674,0.239402,0.25767,0.194993,0.116102,0.069703,0.049054,0.029061,0.019759,0.01419,0.009393,79.5783,0.038279
Positive,0.00028,0.202548,0.284058,0.190944,0.132332,0.08326,0.051039,0.022835,0.012058,0.012139,0.008505,79.1203,0.006017,0.000291,0.255196,0.27447,0.195898,0.112729,0.068532,0.040276,0.020169,0.015578,0.008637,0.008223,79.2262,0.01041,0,0.1201,0.219379,0.227351,0.167262,0.092339,0.070378,0.045083,0.028748,0.017525,0.011835,70.9466,0.01077,0,0.09912,0.220731,0.193576,0.141662,0.128697,0.084093,0.057492,0.035991,0.021945,0.016692,74.1243,0.025906
Positive,0,0.116453,0.199823,0.212345,0.166993,0.120331,0.085665,0.052247,0.025861,0.011557,0.008726,79.671,0.010513,0.000267,0.150463,0.260781,0.210684,0.14175,0.090259,0.061237,0.041915,0.018505,0.013673,0.010467,79.4324,0.013297,0.000271,0.156449,0.276077,0.184182,0.127587,0.089241,0.065878,0.045289,0.030214,0.01304,0.011771,78.689,0.020267,0,0.21613,0.313767,0.199993,0.122453,0.071491,0.03172,0.019268,0.011462,0.006079,0.007637,79.4479,0.036593
Positive,0,0.133612,0.283404,0.226696,0.138437,0.102666,0.06084,0.026422,0.010424,0.010463,0.007036,78.4495,0.011031,0,0.137398,0.258465,0.238061,0.132634,0.090325,0.066918,0.029854,0.020598,0.01539,0.010358,78.4745,0.013144,0.000567,0.1754,0.274317,0.191681,0.136483,0.08602,0.055429,0.035733,0.019532,0.013421,0.011416,79.077,0.019289,0,0.226858,0.268062,0.186392,0.114127,0.073836,0.055551,0.030906,0.022571,0.013267,0.008429,79.566,0.042712
Positive,0,0.215038,0.289227,0.195495,0.108186,0.076069,0.044439,0.030703,0.016855,0.011986,0.012003,78.2801,0.009715,0.000584,0.163161,0.255991,0.201578,0.124685,0.094017,0.063988,0.037057,0.030397,0.018466,0.010076,75.9375,0.007723,0,0.169794,0.26158,0.221541,0.150343,0.085193,0.051526,0.029988,0.015409,0.00384,0.010787,76.8039,0.019486,0.000299,0.114723,0.255303,0.222501,0.140629,0.10717,0.064022,0.043217,0.023414,0.016666,0.012056,77.4332,0.028714
Positive,0.000282,0.201937,0.251639,0.194128,0.150659,0.094244,0.044903,0.027873,0.01635,0.010976,0.00701,79.8861,0.01209,0,0.269091,0.249158,0.190427,0.117991,0.075396,0.04087,0.024537,0.01558,0.009061,0.007888,79.8151,0.018286,0.000275,0.222616,0.280105,0.191155,0.115555,0.06769,0.048143,0.031503,0.01739,0.015204,0.010366,78.7701,0.025321,0.000303,0.237251,0.246786,0.174782,0.127041,0.078774,0.055093,0.031817,0.023026,0.014202,0.010925,79.6844,0.054275
Positive,0.000761,0.144915,0.204686,0.172412,0.112264,0.080877,0.052051,0.033729,0.039516,0.009659,0.14913,79.3848,0.006345,0.000285,0.233575,0.269205,0.190424,0.119543,0.080955,0.042666,0.031174,0.014435,0.008586,0.00915,79.6137,0.012169,0,0.14897,0.269244,0.208361,0.161032,0.098474,0.057485,0.020735,0.012119,0.0113,0.012281,71.0365,0.015559,0.00023,0.213848,0.271649,0.194371,0.125782,0.081724,0.053268,0.027419,0.017924,0.007451,0.006333,79.1275,0.030933
Positive,0,0.164691,0.26423,0.195247,0.13564,0.095606,0.064634,0.041315,0.019768,0.010303,0.008567,78.7845,0.009306,0,0.152371,0.272928,0.173468,0.087959,0.09927,0.036582,0.038846,0.024677,0.024176,0.089722,77.4485,0.013086,0,0.158732,0.28266,0.235564,0.128498,0.077073,0.050658,0.034859,0.015993,0.006687,0.009276,78.3566,0.017784,0,0.118533,0.243253,0.260016,0.163704,0.099578,0.050581,0.03329,0.011022,0.011538,0.008485,76.2837,0.02536
Positive,0,0.185375,0.259727,0.208521,0.130977,0.078948,0.050346,0.040682,0.025607,0.011621,0.008197,78.6374,0.006257,0,0.211067,0.285093,0.182177,0.152641,0.07719,0.044668,0.019702,0.013584,0.007451,0.006425,79.3149,0.009454,0,0.165229,0.283905,0.20452,0.162103,0.086289,0.049332,0.022301,0.01198,0.006584,0.007757,77.0436,0.028099,0.000291,0.183688,0.274679,0.202033,0.138806,0.084203,0.044047,0.030682,0.01991,0.011537,0.010123,79.3899,0.050939
